stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"19465","Lennox St/Swan St #9","-37.82509192","144.99328370","https://transport.vic.gov.au/stop/2138/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19466","Richmond Station/Swan St #8","-37.82464599","144.98933075","https://transport.vic.gov.au/stop/2115/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19467","Brewster St/Mt Alexander Rd #43","-37.75022730","144.91422607","https://transport.vic.gov.au/stop/2671/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19468","Thorn St/Mt Alexander Rd #44","-37.74810148","144.91275361","https://transport.vic.gov.au/stop/2669/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19469","Glass St/Mt Alexander Rd #45","-37.74648648","144.91163004","https://transport.vic.gov.au/stop/2667/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19470","Mt Alexander Rd/Keilor Rd #47","-37.74395158","144.90894359","https://transport.vic.gov.au/stop/2664/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19471","Service St/Keilor Rd #48","-37.74268759","144.90576757","https://transport.vic.gov.au/stop/2980/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19472","Essendon North PS/Keilor Rd #49","-37.74150083","144.90288452","https://transport.vic.gov.au/stop/2443/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19473","Cooper St/Keilor Rd #50","-37.74003205","144.89935136","https://transport.vic.gov.au/stop/2660/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"19475","Keilor Rd/Matthews Ave #53","-37.73525758","144.88936458","https://transport.vic.gov.au/stop/2657/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19477","Fullarton Rd/Matthews Ave #54","-37.73235517","144.88983279","https://transport.vic.gov.au/stop/2655/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19478","Cameron St/Matthews Ave #55","-37.72991151","144.89025391","https://transport.vic.gov.au/stop/2654/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19479","Earl St/Matthews Ave #56","-37.72732353","144.89066774","https://transport.vic.gov.au/stop/2652/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19480","Hawker St/Matthews Ave #57","-37.72306487","144.89138987","https://transport.vic.gov.au/stop/2651/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19481","Marshall Rd/Matthews Ave #58","-37.71837305","144.89207881","https://transport.vic.gov.au/stop/2650/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19482","Airport West/Matthews Ave #59","-37.71384002","144.89056242","https://transport.vic.gov.au/stop/2649/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19489","Melbourne University/Swanston St #1","-37.79930548","144.96419183","https://transport.vic.gov.au/stop/2214/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19491","Lincoln Square/Swanston St #3","-37.80236978","144.96368745","https://transport.vic.gov.au/stop/2212/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19492","Queensberry St/Swanston St #4","-37.80569411","144.96310774","https://transport.vic.gov.au/stop/2211/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19494","RMIT University/Swanston St #7","-37.80813946","144.96329043","https://transport.vic.gov.au/stop/2209/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19495","Melbourne Central Station/Swanston St #8","-37.81038237","144.96427381","https://transport.vic.gov.au/stop/2208/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19497","Bourke Street Mall/Swanston St #10","-37.81319863","144.96558229","https://transport.vic.gov.au/stop/2206/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19498","City Square/Swanston St #11","-37.81637753","144.96701723","https://transport.vic.gov.au/stop/2205/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19499","Federation Square/Swanston St #13","-37.81847551","144.96795936","https://transport.vic.gov.au/stop/2204/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19500","Arts Precinct/St Kilda Rd #14","-37.82184570","144.96951422","https://transport.vic.gov.au/stop/2203/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19504","Shrine of Remembrance/St Kilda Rd #19","-37.82879869","144.97136874","https://transport.vic.gov.au/stop/2198/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19528","Toorak Rd/St Kilda Rd #22","-37.83595132","144.97539977","https://transport.vic.gov.au/stop/2612/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"19539","Arthur St/St Kilda Rd #23","-37.83885520","144.97657033","https://transport.vic.gov.au/stop/2610/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
