route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X065","2-SHM-vpt-7.4.H","Sandringham","0","8795","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X066","2-SHM-vpt-7.3.R","Flinders Street","1","8795","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X067","2-SHM-vpt-7.4.H","Sandringham","0","8663","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X068","2-SHM-vpt-7.3.R","Flinders Street","1","8663","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X069","2-SHM-vpt-7.4.H","Sandringham","0","8789","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X070","2-SHM-vpt-7.3.R","Flinders Street","1","8789","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X071","2-SHM-vpt-7.4.H","Sandringham","0","8856","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X072","2-SHM-vpt-7.3.R","Flinders Street","1","8856","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X073","2-SHM-vpt-7.4.H","Sandringham","0","8847","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X074","2-SHM-vpt-7.3.R","Flinders Street","1","8847","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X075","2-SHM-vpt-7.4.H","Sandringham","0","8863","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X076","2-SHM-vpt-7.3.R","Flinders Street","1","8863","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X077","2-SHM-vpt-7.4.H","Sandringham","0","8672","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X078","2-SHM-vpt-7.3.R","Flinders Street","1","8672","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X079","2-SHM-vpt-7.4.H","Sandringham","0","8671","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X080","2-SHM-vpt-7.3.R","Flinders Street","1","8671","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X081","2-SHM-vpt-7.4.H","Sandringham","0","8727","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X082","2-SHM-vpt-7.3.R","Flinders Street","1","8727","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X083","2-SHM-vpt-7.4.H","Sandringham","0","8712","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X084","2-SHM-vpt-7.3.R","Flinders Street","1","8712","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X085","2-SHM-vpt-7.4.H","Sandringham","0","8830","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X086","2-SHM-vpt-7.3.R","Flinders Street","1","8830","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X087","2-SHM-vpt-7.4.H","Sandringham","0","8697","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X088","2-SHM-vpt-7.3.R","Flinders Street","1","8697","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X089","2-SHM-vpt-7.4.H","Sandringham","0","8746","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X090","2-SHM-vpt-7.3.R","Flinders Street","1","8746","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X091","2-SHM-vpt-7.4.H","Sandringham","0","8800","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X092","2-SHM-vpt-7.3.R","Flinders Street","1","8800","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X093","2-SHM-vpt-7.4.H","Sandringham","0","8783","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X094","2-SHM-vpt-7.3.R","Flinders Street","1","8783","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X095","2-SHM-vpt-7.4.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X096","2-SHM-vpt-7.3.R","Flinders Street","1","8842","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X097","2-SHM-vpt-7.4.H","Sandringham","0","8842","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X098","2-SHM-vpt-7.3.R","Flinders Street","1","8703","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X099","2-SHM-vpt-7.4.H","Sandringham","0","8703","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X100","2-SHM-vpt-7.3.R","Flinders Street","1","8704","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X101","2-SHM-vpt-7.4.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X102","2-SHM-vpt-7.3.R","Flinders Street","1","8723","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X103","2-SHM-vpt-7.4.H","Sandringham","0","8704","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X104","2-SHM-vpt-7.3.R","Flinders Street","1","8868","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X105","2-SHM-vpt-7.4.H","Sandringham","0","8723","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X106","2-SHM-vpt-7.3.R","Flinders Street","1","8735","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X107","2-SHM-vpt-7.4.H","Sandringham","0","8868","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X108","2-SHM-vpt-7.3.R","Flinders Street","1","8812","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X109","2-SHM-vpt-7.4.H","Sandringham","0","8735","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X110","2-SHM-vpt-7.3.R","Flinders Street","1","8777","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X111","2-SHM-vpt-7.4.H","Sandringham","0","8812","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X112","2-SHM-vpt-7.3.R","Flinders Street","1","8716","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X113","2-SHM-vpt-7.4.H","Sandringham","0","","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X114","2-SHM-vpt-7.3.R","Flinders Street","1","8719","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X115","2-SHM-vpt-7.4.H","Sandringham","0","8777","1"
"aus:vic:vic-02-SHM:","T6_1","02-SHM--7-T6-X116","2-SHM-vpt-7.3.R","Flinders Street","1","8754","1"
